anio,sector,emisiones,unidad_medida
1990,Energía,95.46,Megatoneladas de dióxido de carbono equivalente
1991,Energía,100.4,Megatoneladas de dióxido de carbono equivalente
1992,Energía,104.24,Megatoneladas de dióxido de carbono equivalente
1993,Energía,105.27,Megatoneladas de dióxido de carbono equivalente
1994,Energía,110.12,Megatoneladas de dióxido de carbono equivalente
1995,Energía,112.31,Megatoneladas de dióxido de carbono equivalente
1996,Energía,127.75,Megatoneladas de dióxido de carbono equivalente
1997,Energía,128.2,Megatoneladas de dióxido de carbono equivalente
1998,Energía,135.75,Megatoneladas de dióxido de carbono equivalente
1999,Energía,138.16,Megatoneladas de dióxido de carbono equivalente
2000,Energía,134.87,Megatoneladas de dióxido de carbono equivalente
2001,Energía,131.39,Megatoneladas de dióxido de carbono equivalente
2002,Energía,124.06,Megatoneladas de dióxido de carbono equivalente
2003,Energía,133.27,Megatoneladas de dióxido de carbono equivalente
2004,Energía,144.98,Megatoneladas de dióxido de carbono equivalente
2005,Energía,149.12,Megatoneladas de dióxido de carbono equivalente
2006,Energía,157.21,Megatoneladas de dióxido de carbono equivalente
2007,Energía,171.57,Megatoneladas de dióxido de carbono equivalente
2008,Energía,176.89,Megatoneladas de dióxido de carbono equivalente
2009,Energía,164.55,Megatoneladas de dióxido de carbono equivalente
2010,Energía,178.66,Megatoneladas de dióxido de carbono equivalente
2011,Energía,187.2,Megatoneladas de dióxido de carbono equivalente
2012,Energía,187.64,Megatoneladas de dióxido de carbono equivalente
2013,Energía,190.47,Megatoneladas de dióxido de carbono equivalente
2014,Energía,187.19,Megatoneladas de dióxido de carbono equivalente
2015,Energía,192.89,Megatoneladas de dióxido de carbono equivalente
2016,Energía,193.42,Megatoneladas de dióxido de carbono equivalente
1990,Procesos industriales y uso de productos,8.37,Megatoneladas de dióxido de carbono equivalente
1991,Procesos industriales y uso de productos,7.77,Megatoneladas de dióxido de carbono equivalente
1992,Procesos industriales y uso de productos,7.67,Megatoneladas de dióxido de carbono equivalente
1993,Procesos industriales y uso de productos,8.3,Megatoneladas de dióxido de carbono equivalente
1994,Procesos industriales y uso de productos,9.45,Megatoneladas de dióxido de carbono equivalente
1995,Procesos industriales y uso de productos,9.27,Megatoneladas de dióxido de carbono equivalente
1996,Procesos industriales y uso de productos,9.81,Megatoneladas de dióxido de carbono equivalente
1997,Procesos industriales y uso de productos,11.21,Megatoneladas de dióxido de carbono equivalente
1998,Procesos industriales y uso de productos,11.3,Megatoneladas de dióxido de carbono equivalente
1999,Procesos industriales y uso de productos,10.69,Megatoneladas de dióxido de carbono equivalente
