Package,Type,Title,Version,Description,License,Encoding,URL,Repository,Author,Maintainer,_published,_filesize,organization
renv,Package,Project Environments,0.17.3-7,"A dependency management toolkit for R. Using 'renv', you can create
and manage project-local R libraries, save the state of these libraries to
a 'lockfile', and later restore your library as required. Together, these
tools can help make your projects more isolated, portable, and reproducible.",MIT + file LICENSE,UTF-8,https://rstudio.github.io/renv/,https://rstudio.r-universe.dev,"Kevin Ushey [aut, cre],
Posit Software, PBC [cph, fnd]",Kevin Ushey <kevin@rstudio.com>,2023-04-11T07:15:02.074Z,740240,RStudio
bslib,NA,Custom 'Bootstrap' 'Sass' Themes for 'shiny' and 'rmarkdown',0.4.2.9000,"Simplifies custom 'CSS' styling of both 'shiny' and 'rmarkdown' via 'Bootstrap' 'Sass'. Supports 'Bootstrap' 3, 4 and 5 as well as their various 'Bootswatch' themes. An interactive widget is also provided for previewing themes in real time.",MIT + file LICENSE,UTF-8,"https://rstudio.github.io/bslib/, https://github.com/rstudio/bslib",https://rstudio.r-universe.dev,"Carson Sievert [aut, cre] (<https://orcid.org/0000-0002-4958-2844>),
Joe Cheng [aut],
RStudio [cph],
Bootstrap contributors [ctb] (Bootstrap library),
Twitter, Inc [cph] (Bootstrap library),
Javi Aguilar [ctb, cph] (Bootstrap colorpicker library),
Thomas Park [ctb, cph] (Bootswatch library),
PayPal [ctb, cph] (Bootstrap accessibility plugin)",Carson Sievert <carson@rstudio.com>,2023-04-10T22:14:25.136Z,5026943,RStudio
tinytex,Package,"Helper Functions to Install and Maintain TeX Live, and Compile
LaTeX Documents",0.44.3,"Helper functions to install and maintain the 'LaTeX' distribution
named 'TinyTeX' (<https://yihui.org/tinytex/>), a lightweight, cross-platform,
portable, and easy-to-maintain version of 'TeX Live'. This package also
contains helper functions to compile 'LaTeX' documents, and install missing
'LaTeX' packages automatically.",MIT + file LICENSE,UTF-8,https://github.com/rstudio/tinytex,https://rstudio.r-universe.dev,"Yihui Xie [aut, cre, cph] (<https://orcid.org/0000-0003-0645-5666>),
Posit Software, PBC [cph, fnd],
Christophe Dervieux [ctb] (<https://orcid.org/0000-0003-4474-2498>),
Devon Ryan [ctb] (<https://orcid.org/0000-0002-8549-0971>),
Ethan Heinzen [ctb],
Fernando Cagua [ctb]",Yihui Xie <xie@yihui.name>,2023-04-10T22:10:43.073Z,160179,RStudio
config,Package,Manage Environment Specific Configuration Values,0.3.1.9000,"Manage configuration values across multiple environments (e.g.
development, test, production). Read values using a function that determines
the current environment and returns the appropriate value.",GPL-3,UTF-8,"https://rstudio.github.io/config/,
https://github.com/rstudio/config",https://rstudio.r-universe.dev,"JJ Allaire [aut],
Andrie de Vries [cre],
Posit Software, PBC [cph, fnd]",Andrie de Vries <apdevries@gmail.com>,2023-04-10T12:12:44.769Z,160589,RStudio
gt,Package,Easily Create Presentation-Ready Display Tables,0.9.0.9000,"Build display tables from tabular data with an easy-to-use set of
functions. With its progressive approach, we can construct display tables
with a cohesive set of table parts. Table values can be formatted using any
of the included formatting functions. Footnotes and cell styles can be
precisely added through a location targeting system. The way in which 'gt'
handles things for you means that you don't often have to worry about the
fine details.",MIT + file LICENSE,UTF-8,"https://gt.rstudio.com/, https://github.com/rstudio/gt",https://rstudio.r-universe.dev,"Richard Iannone [aut, cre] (<https://orcid.org/0000-0003-3925-190X>),
Joe Cheng [aut],
Barret Schloerke [aut] (<https://orcid.org/0000-0001-9986-114X>),
Ellis Hughes [aut] (<https://orcid.org/0000-0003-0637-4436>),
Alexandra Lauer [aut] (<https://orcid.org/0000-0002-4191-6301>),
JooYoung Seo [aut] (<https://orcid.org/0000-0002-4064-6012>),
Posit Software, PBC [cph, fnd]",Richard Iannone <rich@posit.co>,2023-04-08T21:17:31.486Z,2932076,RStudio
markdown,Package,Render Markdown with 'commonmark',1.6.1,"Render Markdown to full and lightweight HTML/LaTeX documents with
the 'commonmark' package. It also supports features that are missing in
'commonmark', such as raw HTML/LaTeX blocks, LaTeX math, superscripts,
subscripts, footnotes, element attributes, appendices, and fenced 'Divs'.
With additional JavaScript and CSS, it can also create HTML slides and
articles.",MIT + file LICENSE,UTF-8,https://github.com/rstudio/markdown,https://rstudio.r-universe.dev,"Yihui Xie [aut, cre] (<https://orcid.org/0000-0003-0645-5666>),
JJ Allaire [aut],
Jeffrey Horner [aut],
Henrik Bengtsson [ctb],
Jim Hester [ctb],
Yixuan Qiu [ctb],
Kohske Takahashi [ctb],
Adam November [ctb],
Nacho Caballero [ctb],
Jeroen Ooms [ctb],
Thomas Leeper [ctb],
Joe Cheng [ctb],
Andrzej Oles [ctb],
Posit Software, PBC [cph, fnd]",Yihui Xie <xie@yihui.name>,2023-04-08T05:14:53.456Z,267861,RStudio
vetiver,NA,"Version, Share, Deploy, and Monitor Models",0.2.0.9000,"The goal of 'vetiver' is to provide fluent tooling to
version, share, deploy, and monitor a trained model. Functions handle
both recording and checking the model's input data prototype, and
predicting from a remote API endpoint. The 'vetiver' package is
extensible, with generics that can support many kinds of models.",MIT + file LICENSE,UTF-8,"https://vetiver.rstudio.com, https://rstudio.github.io/vetiver-r/,
https://github.com/rstudio/vetiver-r/",https://rstudio.r-universe.dev,"Julia Silge [cre, aut] (<https://orcid.org/0000-0002-3671-836X>),
Posit Software, PBC [cph, fnd]",Julia Silge <julia.silge@posit.co>,2023-04-07T18:29:21.994Z,565055,RStudio
rmarkdown,Package,Dynamic Documents for R,2.21.2,Convert R Markdown documents into a variety of formats.,GPL-3,UTF-8,"https://github.com/rstudio/rmarkdown,
https://pkgs.rstudio.com/rmarkdown/",https://rstudio.r-universe.dev,"JJ Allaire [aut],
Yihui Xie [aut, cre] (<https://orcid.org/0000-0003-0645-5666>),
Christophe Dervieux [aut] (<https://orcid.org/0000-0003-4474-2498>),
Jonathan McPherson [aut],
Javier Luraschi [aut],
Kevin Ushey [aut],
Aron Atkins [aut],
Hadley Wickham [aut],
Joe Cheng [aut],
Winston Chang [aut],
Richard Iannone [aut] (<https://orcid.org/0000-0003-3925-190X>),
Andrew Dunning [ctb] (<https://orcid.org/0000-0003-0464-5036>),
Atsushi Yasumoto [ctb, cph] (<https://orcid.org/0000-0002-8335-495X>,
Number sections Lua filter),
Barret Schloerke [ctb],
Carson Sievert [ctb] (<https://orcid.org/0000-0002-4958-2844>),
Devon Ryan [ctb] (<https://orcid.org/0000-0002-8549-0971>),
Frederik Aust [ctb] (<https://orcid.org/0000-0003-4900-788X>),
Jeff Allen [ctb],
JooYoung Seo [ctb] (<https://orcid.org/0000-0002-4064-6012>),
Malcolm Barrett [ctb],
Rob Hyndman [ctb],
Romain Lesur [ctb],
Roy Storey [ctb],
Ruben Arslan [ctb],
Sergio Oller [ctb],
Posit Software, PBC [cph, fnd],
jQuery UI contributors [ctb, cph] (jQuery UI library; authors listed in
inst/rmd/h/jqueryui-AUTHORS.txt),
Mark Otto [ctb] (Bootstrap library),
Jacob Thornton [ctb] (Bootstrap library),
Bootstrap contributors [ctb] (Bootstrap library),
Twitter, Inc [cph] (Bootstrap library),
Alexander Farkas [ctb, cph] (html5shiv library),
Scott Jehl [ctb, cph] (Respond.js library),
Ivan Sagalaev [ctb, cph] (highlight.js library),
Greg Franko [ctb, cph] (tocify library),
John MacFarlane [ctb, cph] (Pandoc templates),
Google, Inc. [ctb, cph] (ioslides library),
Dave Raggett [ctb] (slidy library),
W3C [cph] (slidy library),
Dave Gandy [ctb, cph] (Font-Awesome),
Ben Sperry [ctb] (Ionicons),
Drifty [cph] (Ionicons),
Aidan Lister [ctb, cph] (jQuery StickyTabs),
Benct Philip Jonsson [ctb, cph] (pagebreak Lua filter),
Albert Krewinkel [ctb, cph] (pagebreak Lua filter)",Yihui Xie <xie@yihui.name>,2023-04-07T14:13:16.890Z,2518510,RStudio
rticles,Package,Article Formats for R Markdown,0.24.9,"A suite of custom R Markdown formats and templates for
authoring journal articles and conference submissions.",GPL-3,UTF-8,https://github.com/rstudio/rticles,https://rstudio.r-universe.dev,"JJ Allaire [aut],
Yihui Xie [aut] (<https://orcid.org/0000-0003-0645-5666>),
Christophe Dervieux [aut, cre]
(<https://orcid.org/0000-0003-4474-2498>),
Posit Software, PBC [cph, fnd],
R Foundation [aut, cph],
Hadley Wickham [aut],
Journal of Statistical Software [aut, cph],
Ramnath Vaidyanathan [aut, cph],
Association for Computing Machinery [aut, cph],
Carl Boettiger [aut, cph],
Elsevier [aut, cph],
Karl Broman [aut, cph],
Kirill Mueller [aut, cph],
Bastiaan Quast [aut, cph],
Randall Pruim [aut, cph],
Ben Marwick [aut, cph],
Charlotte Wickham [aut, cph],
Oliver Keyes [aut, cph],
Miao Yu [aut, cph],
Daniel Emaasit [aut, cph],
Thierry Onkelinx [aut, cph],
Alessandro Gasparini [aut, cph]
(<https://orcid.org/0000-0002-8319-7624>),
Marc-Andre Desautels [aut, cph],
Dominik Leutnant [aut, cph] (<https://orcid.org/0000-0003-3293-2315>),
MDPI [aut, cph],
Taylor and Francis [aut, cph],
Oğuzhan Öğreden [aut] (<https://orcid.org/0000-0002-9949-3348>),
Dalton Hance [aut],
Daniel Nüst [aut, cph] (<https://orcid.org/0000-0002-0024-5046>),
Petter Uvesten [aut, cph],
Elio Campitelli [aut, cph] (<https://orcid.org/0000-0002-7742-9230>),
John Muschelli [aut, cph] (<https://orcid.org/0000-0001-6469-1750>),
Alex Hayes [aut] (<https://orcid.org/0000-0002-4985-5160>),
Zhian N. Kamvar [aut, cph] (<https://orcid.org/0000-0003-1458-7108>),
Noam Ross [aut, cph] (<https://orcid.org/0000-0002-2136-0000>),
Robrecht Cannoodt [aut, cph] (<https://orcid.org/0000-0003-3641-729X>,
rcannood),
Duncan Luguern [aut],
David M. Kaplan [aut, ctb] (<https://orcid.org/0000-0001-6087-359X>,
dmkaplan2000),
Sebastian Kreutzer [aut] (<https://orcid.org/0000-0002-0734-2199>),
Shixiang Wang [aut, ctb] (<https://orcid.org/0000-0001-9855-7357>),
Jay Hesselberth [aut, ctb] (<https://orcid.org/0000-0002-6299-179X>),
Alfredo Hernández [ctb] (<https://orcid.org/0000-0002-2660-4545>),
Stefano Coretta [ctb] (<https://orcid.org/0000-0001-9627-5532>,
stefanocoretta),
Greg Macfarlane [ctb] (gregmacfarlane),
Matthias Templ [ctb] (<https://orcid.org/0000-0002-8638-5276>,
matthias-da),
Alvaro Uzaheta [ctb] (auzaheta),
JooYoung Seo [ctb] (<https://orcid.org/0000-0002-4064-6012>),
Callum Arnold [ctb] (arnold-c),
Rob Hyndman [aut] (<https://orcid.org/0000-0002-2140-5352>),
Dmytro Perepolkin [ctb] (<https://orcid.org/0000-0001-8558-6183>,
dmi3kno),
Tom Palmer [ctb] (<https://orcid.org/0000-0003-4655-4511>, remlapmot)",Christophe Dervieux <cderv@posit.co>,2023-04-06T22:13:01.321Z,3072985,RStudio
htmltools,Package,Tools for HTML,0.5.5.9000,Tools for HTML generation and output.,GPL (>= 2),UTF-8,"https://github.com/rstudio/htmltools,
https://rstudio.github.io/htmltools/",https://rstudio.r-universe.dev,"Joe Cheng [aut],
Carson Sievert [aut, cre] (<https://orcid.org/0000-0002-4958-2844>),
Barret Schloerke [aut] (<https://orcid.org/0000-0001-9986-114X>),
Winston Chang [aut] (<https://orcid.org/0000-0002-1576-2126>),
Yihui Xie [aut],
Jeff Allen [aut],
RStudio [cph]",Carson Sievert <carson@rstudio.com>,2023-04-05T21:16:41.757Z,343879,RStudio
learnr,Package,Interactive Tutorials for R,0.11.3.9000,"Create interactive tutorials using R Markdown. Use a
combination of narrative, figures, videos, exercises, and quizzes to
create self-paced tutorials for learning about R and R packages.",Apache License (>= 2.0),UTF-8,"https://rstudio.github.io/learnr/,
https://github.com/rstudio/learnr",https://rstudio.r-universe.dev,"Garrick Aden-Buie [aut, cre] (<https://orcid.org/0000-0002-7111-0077>),
Barret Schloerke [aut] (<https://orcid.org/0000-0001-9986-114X>),
JJ Allaire [aut, ccp],
Alexander Rossell Hayes [aut] (<https://orcid.org/0000-0001-9412-0457>),
Nischal Shrestha [ctb] (<https://orcid.org/0000-0003-3321-1712>),
Angela Li [ctb] (vignette),
Posit, PBC [cph, fnd],
Ajax.org B.V. [ctb, cph] (Ace library),
Zeno Rocha [ctb, cph] (clipboard.js library),
Nick Payne [ctb, cph] (Bootbox library),
Jake Archibald [ctb, cph] (idb-keyval library),
i18next authors [ctb, cph] (i18next library)",Garrick Aden-Buie <garrick@posit.co>,2023-04-04T00:45:00.465Z,1849434,RStudio
reticulate,Package,Interface to 'Python',1.28-9000,"Interface to 'Python' modules, classes, and functions. When calling
into 'Python', R data types are automatically converted to their equivalent 'Python'
types. When values are returned from 'Python' to R they are converted back to R
types. Compatible with all versions of 'Python' >= 2.7.",Apache License 2.0,UTF-8,"https://rstudio.github.io/reticulate/,
https://github.com/rstudio/reticulate",https://rstudio.r-universe.dev,"Tomasz Kalinowski [ctb, cre],
Kevin Ushey [aut],
JJ Allaire [aut],
RStudio [cph, fnd],
Yuan Tang [aut, cph] (<https://orcid.org/0000-0001-5243-233X>),
Dirk Eddelbuettel [ctb, cph],
Bryan Lewis [ctb, cph],
Sigrid Keydana [ctb],
Ryan Hafen [ctb, cph],
Marcus Geelnard [ctb, cph] (TinyThread library,
http://tinythreadpp.bitsnbites.eu/)",Tomasz Kalinowski <tomasz@rstudio.com>,2023-04-03T17:15:53.829Z,1783349,RStudio
shiny,Package,Web Application Framework for R,1.7.4.9002,"Makes it incredibly easy to build interactive web
applications with R. Automatic ""reactive"" binding between inputs and
outputs and extensive prebuilt widgets make it possible to build
beautiful, responsive, and powerful applications with minimal effort.",GPL-3 | file LICENSE,UTF-8,https://shiny.rstudio.com/,https://rstudio.r-universe.dev,"Winston Chang [aut, cre] (<https://orcid.org/0000-0002-1576-2126>),
Joe Cheng [aut],
JJ Allaire [aut],
Carson Sievert [aut] (<https://orcid.org/0000-0002-4958-2844>),
Barret Schloerke [aut] (<https://orcid.org/0000-0001-9986-114X>),
Yihui Xie [aut],
Jeff Allen [aut],
Jonathan McPherson [aut],
Alan Dipert [aut],
Barbara Borges [aut],
RStudio [cph],
jQuery Foundation [cph] (jQuery library and jQuery UI library),
jQuery contributors [ctb, cph] (jQuery library; authors listed in
inst/www/shared/jquery-AUTHORS.txt),
jQuery UI contributors [ctb, cph] (jQuery UI library; authors listed in
inst/www/shared/jqueryui/AUTHORS.txt),
Mark Otto [ctb] (Bootstrap library),
Jacob Thornton [ctb] (Bootstrap library),
Bootstrap contributors [ctb] (Bootstrap library),
Twitter, Inc [cph] (Bootstrap library),
Prem Nawaz Khan [ctb] (Bootstrap accessibility plugin),
Victor Tsaran [ctb] (Bootstrap accessibility plugin),
Dennis Lembree [ctb] (Bootstrap accessibility plugin),
Srinivasu Chakravarthula [ctb] (Bootstrap accessibility plugin),
Cathy O'Connor [ctb] (Bootstrap accessibility plugin),
PayPal, Inc [cph] (Bootstrap accessibility plugin),
Stefan Petre [ctb, cph] (Bootstrap-datepicker library),
Andrew Rowls [ctb, cph] (Bootstrap-datepicker library),
Brian Reavis [ctb, cph] (selectize.js library),
Salmen Bejaoui [ctb, cph] (selectize-plugin-a11y library),
Denis Ineshin [ctb, cph] (ion.rangeSlider library),
Sami Samhuri [ctb, cph] (Javascript strftime library),
SpryMedia Limited [ctb, cph] (DataTables library),
John Fraser [ctb, cph] (showdown.js library),
John Gruber [ctb, cph] (showdown.js library),
Ivan Sagalaev [ctb, cph] (highlight.js library),
R Core Team [ctb, cph] (tar implementation from R)",Winston Chang <winston@rstudio.com>,2023-03-31T20:17:09.117Z,3554285,RStudio
keras,Package,R Interface to 'Keras',2.11.1,"Interface to 'Keras' <https://keras.io>, a high-level neural
networks 'API'. 'Keras' was developed with a focus on enabling fast experimentation,
supports both convolution based networks and recurrent networks (as well as
combinations of the two), and runs seamlessly on both 'CPU' and 'GPU' devices.",MIT + file LICENSE,UTF-8,https://tensorflow.rstudio.com/,https://rstudio.r-universe.dev,"Tomasz Kalinowski [ctb, cph, cre],
Daniel Falbel [ctb, cph],
JJ Allaire [aut, cph],
François Chollet [aut, cph],
RStudio [ctb, cph, fnd],
Google [ctb, cph, fnd],
Yuan Tang [ctb, cph] (<https://orcid.org/0000-0001-5243-233X>),
Wouter Van Der Bijl [ctb, cph],
Martin Studer [ctb, cph],
Sigrid Keydana [ctb]",Tomasz Kalinowski <tomasz@posit.co>,2023-03-31T19:15:02.703Z,4858106,RStudio
bookdown,Package,Authoring Books and Technical Documents with R Markdown,0.33.2,Output formats and utilities for authoring books and technical documents with R Markdown.,GPL-3,UTF-8,"https://github.com/rstudio/bookdown,
https://pkgs.rstudio.com/bookdown/",https://rstudio.r-universe.dev,"Yihui Xie [aut, cre] (<https://orcid.org/0000-0003-0645-5666>),
Christophe Dervieux [ctb] (<https://orcid.org/0000-0003-4474-2498>),
JJ Allaire [ctb],
Albert Kim [ctb],
Alessandro Samuel-Rosa [ctb],
Andrzej Oles [ctb],
Atsushi Yasumoto [ctb] (<https://orcid.org/0000-0002-8335-495X>),
Aust Frederik [ctb] (<https://orcid.org/0000-0003-4900-788X>),
Bastiaan Quast [ctb],
Ben Marwick [ctb],
Chester Ismay [ctb],
Clifton Franklund [ctb],
Daniel Emaasit [ctb],
David Shuman [ctb],
Dean Attali [ctb],
Drew Tyre [ctb],
Ellis Valentiner [ctb],
Frans van Dunne [ctb],
Hadley Wickham [ctb],
Jeff Allen [ctb],
Jennifer Bryan [ctb],
Jonathan McPhers [ctb],
JooYoung Seo [ctb] (<https://orcid.org/0000-0002-4064-6012>),
Joyce Robbins [ctb],
Junwen Huang [ctb],
Kevin Cheung [ctb],
Kevin Ushey [ctb],
Kim Seonghyun [ctb],
Kirill Muller [ctb],
Luciano Selzer [ctb],
Matthew Lincoln [ctb],
Maximilian Held [ctb],
Michael Sachs [ctb],
Michal Bojanowski [ctb],
Nathan Werth [ctb],
Noam Ross [ctb],
Peter Hickey [ctb],
Pedro Rafael D. Marinho [ctb] (<https://orcid.org/0000-0003-1591-8300>),
Romain Lesur [ctb] (<https://orcid.org/0000-0002-0721-5595>),
Sahir Bhatnagar [ctb],
Shir Dekel [ctb] (<https://orcid.org/0000-0003-1773-2446>),
Steve Simpson [ctb],
Thierry Onkelinx [ctb] (<https://orcid.org/0000-0001-8804-4216>),
Vincent Fulco [ctb],
Yixuan Qiu [ctb],
Zhuoer Dong [ctb],
Posit Software, PBC [cph, fnd],
Bartek Szopka [ctb] (The jQuery Highlight plugin),
Zeno Rocha [cph] (clipboard.js library),
MathQuill contributors [ctb] (The MathQuill library; authors listed in
inst/resources/AUTHORS),
FriendCode Inc [cph, ctb] (The gitbook style, with modifications)",Yihui Xie <xie@yihui.name>,2023-03-31T15:14:01.893Z,998581,RStudio
rsconnect,Package,"Deploy Docs, Apps, and APIs to Posit Connect, shinyapps.io, and
RPubs",0.8.29.9000,"Programmatic deployment interface for 'RPubs',
'shinyapps.io', and 'Posit Connect'. Supported content types include R
Markdown documents, Shiny applications, Plumber APIs, plots, and
static web content.",GPL-2,UTF-8,https://github.com/rstudio/rsconnect,https://rstudio.r-universe.dev,"Aron Atkins [aut, cre],
Toph Allen [aut],
Hadley Wickham [aut],
Jonathan McPherson [aut],
JJ Allaire [aut],
Posit Software, PBC [cph, fnd]",Aron Atkins <aron@posit.co>,2023-03-31T14:16:12.121Z,647112,RStudio
connectapi,Package,Utilities for Interacting with the 'Posit Connect' Server API,0.1.3.9000,"Provides a helpful 'R6' class and methods for interacting with 
the 'Posit Connect' Server API along with some meaningful utility functions
for regular tasks. API documentation varies by 'Posit Connect' installation
and version, but the latest documentation is also hosted publicly at
<https://docs.posit.co/connect/api/>.",MIT + file LICENSE,UTF-8,https://github.com/rstudio/connectapi,https://rstudio.r-universe.dev,"Sean Lopp [aut],
Cole Arendt [aut, cre],
Posit, PBC [cph, fnd]",Cole Arendt <cole@posit.co>,2023-03-29T16:25:45.963Z,720434,RStudio
chromote,NA,Headless Chrome Web Browser Interface,0.1.1.9001,"An implementation of the 'Chrome DevTools Protocol', for controlling a headless Chrome web browser.",GPL-2,UTF-8,https://github.com/rstudio/chromote,https://rstudio.r-universe.dev,"Winston Chang [aut, cre],
Barret Schloerke [aut] (<https://orcid.org/0000-0001-9986-114X>),
RStudio [cph, fnd]",Winston Chang <winston@rstudio.com>,2023-03-27T18:16:33.626Z,267811,RStudio
sortable,Package,Drag-and-Drop in 'shiny' Apps with 'SortableJS',0.5.0,"Enables drag-and-drop behaviour in Shiny apps, by exposing the 
functionality of the 'SortableJS' <https://sortablejs.github.io/Sortable/>
JavaScript library as an 'htmlwidget'.
You can use this in Shiny apps and widgets, 'learnr' tutorials as well as
R Markdown. In addition, provides a custom 'learnr' question type -
'question_rank()' - that allows ranking questions with drag-and-drop.",MIT + file LICENSE,UTF-8,https://rstudio.github.io/sortable/,https://rstudio.r-universe.dev,"Andrie de Vries [cre, aut],
Barret Schloerke [aut],
Kenton Russell [aut, ccp] (Original author),
RStudio [cph, fnd],
Lebedev Konstantin [cph] ('SortableJS',
https://sortablejs.github.io/Sortable/)",Andrie de Vries <apdevries@gmail.com>,2023-03-27T06:17:39.816Z,2052439,RStudio
DT,Package,A Wrapper of the JavaScript Library 'DataTables',0.27.1,"Data objects in R can be rendered as HTML tables using the
JavaScript library 'DataTables' (typically via R Markdown or Shiny). The
'DataTables' library has been included in this R package. The package name
'DT' is an abbreviation of 'DataTables'.",GPL-3 | file LICENSE,UTF-8,https://github.com/rstudio/DT,https://rstudio.r-universe.dev,"Yihui Xie [aut, cre],
Joe Cheng [aut],
Xianying Tan [aut],
JJ Allaire [ctb],
Maximilian Girlich [ctb],
Greg Freedman Ellis [ctb],
Johannes Rauh [ctb],
SpryMedia Limited [ctb, cph] (DataTables in htmlwidgets/lib),
Brian Reavis [ctb, cph] (selectize.js in htmlwidgets/lib),
Leon Gersen [ctb, cph] (noUiSlider in htmlwidgets/lib),
Bartek Szopka [ctb, cph] (jquery.highlight.js in htmlwidgets/lib),
Alex Pickering [ctb],
William Holmes [ctb],
Mikko Marttila [ctb],
Andres Quintero [ctb],
Stéphane Laurent [ctb],
Posit Software, PBC [cph, fnd]",Yihui Xie <xie@yihui.name>,2023-03-24T20:20:57.057Z,1525563,RStudio
